,Unnamed: 0,Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot. Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Date
0,0,World,"1,274,335","+1,473","69,475",+50,"264,837","940,023","45,893",163,8.9,,,2020-04-06
1,1,USA,"336,830",+157,"9,618 ",+2,"17,977","309,235","8,702","1,018",29.0,"1,772,369","5,355",2020-04-06
2,2,Spain,"131,646",,"12,641 ",,"38,080","80,925","6,861","2,816",270.0,"355,000","7,593",2020-04-06
3,3,Italy,"128,948",,"15,887 ",,"21,815","91,246","3,977","2,133",263.0,"691,461","11,436",2020-04-06
4,4,Germany,"100,123",,"1,584 ",,"28,700","69,839","3,936","1,195",19.0,"918,460","10,962",2020-04-06
5,5,France,"92,839",,"8,078 ",,"16,183","68,578","6,838","1,422",124.0,"224,254","3,436",2020-04-06
6,6,Iran,"58,226",,"3,603 ",,"22,011","32,612","4,103",693,43.0,"186,000","2,214",2020-04-06
7,7,UK,"47,806",,"4,934 ",,135,"42,737","1,559",704,73.0,"195,524","2,880",2020-04-06
8,8,Turkey,"27,069",,574 ,,"1,042","25,453","1,381",321,7.0,"181,445","2,151",2020-04-06
9,9,Switzerland,"21,100",,715 ,,"6,415","13,970",391,"2,438",83.0,"158,000","18,256",2020-04-06
10,10,Belgium,"19,691",,"1,447 ",,"3,751","14,493","1,261","1,699",125.0,"70,000","6,040",2020-04-06
11,11,Netherlands,"17,851",,"1,766 ",,250,"15,835","1,385","1,042",103.0,"75,415","4,401",2020-04-06
12,12,Canada,"15,512",,280 ,,"2,942","12,290",426,411,7.0,"330,901","8,767",2020-04-06
13,13,Austria,"12,051",,204 ,,"2,998","8,849",244,"1,338",23.0,"108,416","12,038",2020-04-06
14,14,Brazil,"11,281",+27,487 ,+1,127,"10,667",296,53,2.0,"54,824",258,2020-04-06
15,15,Portugal,"11,278",,295 ,,75,"10,908",267,"1,106",29.0,"86,370","8,470",2020-04-06
16,16,S. Korea,"10,284",+47,186 ,+3,"6,598","3,500",55,201,4.0,"461,233","8,996",2020-04-06
17,17,Israel,"8,430",,49 ,,477,"7,904",139,974,6.0,"109,724","12,677",2020-04-06
18,18,Sweden,"6,830",,401 ,,205,"6,224",541,676,40.0,"36,900","3,654",2020-04-06
19,19,Australia,"5,788",+38,39 ,+2,"2,315","3,434",95,227,2.0,"301,087","11,807",2020-04-06
20,20,Norway,"5,759",+72,71  ,,32,"5,656",89,"1,062",13.0,"105,865","19,528",2020-04-06
21,21,Russia,"5,389",,45 ,,355,"4,989",8,37,0.3,"697,000","4,776",2020-04-06
22,22,Ireland,"4,994",,158 ,,25,"4,811",165,"1,011",32.0,"30,213","6,119",2020-04-06
23,23,Czechia,"4,587",,67 ,,96,"4,424",86,428,6.0,"80,304","7,499",2020-04-06
24,24,Chile,"4,471",,34 ,,618,"3,819",307,234,2.0,"51,956","2,718",2020-04-06
25,25,Denmark,"4,369",,179 ,,"1,327","2,863",142,754,31.0,"49,249","8,503",2020-04-06
