,Unnamed: 0,Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot. Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Date
0,0,World,"1,330,492","+57,630","73,872","+4,447","277,707","978,913","46,537",171,9.5,,,2020-04-07
1,1,USA,"356,653","+19,980","10,516 ",+900,"19,308","326,829","8,876","1,077",32.0,"1,863,144","5,629",2020-04-07
2,2,Spain,"135,032","+3,386","13,169 ",+528,"40,437","81,426","6,931","2,888",282.0,"355,000","7,593",2020-04-07
3,3,Italy,"132,547","+3,599","16,523 ",+636,"22,837","93,187","3,898","2,192",273.0,"721,732","11,937",2020-04-07
4,4,Germany,"101,779","+1,656","1,664 ",+80,"28,700","71,415","3,936","1,215",20.0,"918,460","10,962",2020-04-07
5,5,France,"98,010","+5,171","8,911 ",+833,"17,250","71,849","7,072","1,502",137.0,"224,254","3,436",2020-04-07
6,6,Iran,"60,500","+2,274","3,739 ",+136,"24,236","32,525","4,083",720,45.0,"186,000","2,214",2020-04-07
7,7,UK,"51,608","+3,802","5,373 ",+439,135,"46,100","1,559",760,79.0,"252,958","3,726",2020-04-07
8,8,Turkey,"30,217","+3,148",649 ,+75,"1,326","28,242","1,415",358,8.0,"202,845","2,405",2020-04-07
9,9,Switzerland,"21,652",+552,762 ,+47,"8,056","12,834",391,"2,502",88.0,"162,500","18,776",2020-04-07
10,10,Belgium,"20,814","+1,123","1,632 ",+185,"3,986","15,196","1,257","1,796",141.0,"70,000","6,040",2020-04-07
11,11,Netherlands,"18,803",+952,"1,867 ",+101,250,"16,686","1,409","1,097",109.0,"75,415","4,401",2020-04-07
12,12,Canada,"16,498",+986,321 ,+41,"3,439","12,738",426,437,9.0,"330,901","8,767",2020-04-07
13,13,Austria,"12,293",+242,220 ,+16,"3,463","8,610",250,"1,365",24.0,"111,296","12,357",2020-04-07
14,14,Portugal,"11,730",+452,311 ,+16,140,"11,279",270,"1,150",31.0,"91,794","9,002",2020-04-07
15,15,Brazil,"11,721",+467,516 ,+30,127,"11,078",296,55,2.0,"54,824",258,2020-04-07
16,16,S. Korea,"10,284",+47,186 ,+3,"6,598","3,500",55,201,4.0,"461,233","8,996",2020-04-07
17,17,Israel,"8,904",+474,57 ,+8,585,"8,262",140,"1,029",7.0,"109,724","12,677",2020-04-07
18,18,Sweden,"7,206",+376,477 ,+76,205,"6,524",590,714,47.0,"36,900","3,654",2020-04-07
19,19,Russia,"6,343",+954,47 ,+2,406,"5,890",8,43,0.3,"758,000","5,194",2020-04-07
20,20,Australia,"5,795",+45,41 ,+4,"2,432","3,322",96,227,2.0,"303,536","11,903",2020-04-07
21,21,Norway,"5,763",+76,76 ,+5,32,"5,655",83,"1,063",14.0,"111,299","20,530",2020-04-07
22,22,Ireland,"5,364",+370,174 ,+16,25,"5,165",165,"1,086",35.0,"30,213","6,119",2020-04-07
23,23,Chile,"4,815",+344,37 ,+3,728,"4,050",327,252,2.0,"54,864","2,870",2020-04-07
24,24,India,"4,778",+489,136 ,+18,375,"4,267",,3,0.1,"140,293",102,2020-04-07
25,25,Czechia,"4,735",+148,78 ,+11,121,"4,536",84,442,7.0,"85,014","7,939",2020-04-07
26,26,Denmark,"4,681",+312,187 ,+8,"1,378","3,116",144,808,32.0,"52,936","9,139",2020-04-07
27,27,Poland,"4,413",+311,107 ,+13,162,"4,144",50,117,3.0,"85,467","2,258",2020-04-07
28,28,Romania,"4,057",+193,168 ,+17,406,"3,483",179,211,9.0,"40,987","2,131",2020-04-07
29,29,Malaysia,"3,793",+131,62 ,+1,"1,241","2,490",102,117,2.0,"55,566","1,717",2020-04-07
30,30,Pakistan,"3,766",+609,53 ,+6,259,"3,454",17,17,0.2,"35,875",162,2020-04-07
31,31,Ecuador,"3,747",+101,191 ,+11,100,"3,456",156,212,11.0,"13,039",739,2020-04-07
32,32,Philippines,"3,660",+414,163 ,+11,73,"3,424",1,33,1.0,"22,958",210,2020-04-07
33,33,Japan,"3,654",,85 ,,575,"2,994",69,29,0.7,"46,172",365,2020-04-07
34,34,Luxembourg,"2,843",+39,41 ,+5,500,"2,302",33,"4,542",65.0,"24,291","38,805",2020-04-07
35,35,Saudi Arabia,"2,605",+203,38 ,+4,551,"2,016",41,75,1.0,,,2020-04-07
36,36,Peru,"2,561",+280,92 ,+9,997,"1,472",89,78,3.0,"20,414",619,2020-04-07
37,37,Indonesia,"2,491",+218,209 ,+11,192,"2,090",,9,0.8,"11,460",42,2020-04-07
38,38,Thailand,"2,220",+51,26 ,+3,793,"1,401",23,32,0.4,"25,071",359,2020-04-07
39,39,Serbia,"2,200",+292,58 ,+7,54,"2,088",101,252,7.0,"8,552",979,2020-04-07
40,40,Finland,"2,176",+249,27 ,-1,300,"1,849",81,393,5.0,"32,800","5,920",2020-04-07
41,41,Mexico,"2,143",+253,94 ,+15,633,"1,416",293,17,0.7,"18,034",140,2020-04-07
42,42,UAE,"2,076",+277,11 ,+1,167,"1,898",1,210,1.0,"220,000","22,244",2020-04-07
43,43,Panama,"1,988",+187,54 ,+8,13,"1,921",78,461,13.0,"9,749","2,259",2020-04-07
44,44,Qatar,"1,832",+228,4 ,,131,"1,697",37,636,1.0,"38,108","13,227",2020-04-07
45,45,Dominican Republic,"1,828",+83,86 ,+4,33,"1,709",147,169,8.0,"4,542",419,2020-04-07
46,46,Greece,"1,755",+20,79 ,+6,269,"1,407",90,168,8.0,"26,193","2,513",2020-04-07
47,47,South Africa,"1,686",+31,12 ,+1,95,"1,579",7,28,0.2,"56,873",959,2020-04-07
48,48,Iceland,"1,562",+76,6 ,+2,460,"1,096",11,"4,577",18.0,"27,880","81,701",2020-04-07
49,49,Argentina,"1,554",,48 ,+2,325,"1,181",94,34,1.0,"10,709",237,2020-04-07
50,50,Colombia,"1,485",,35 ,,88,"1,362",50,29,0.7,"25,264",497,2020-04-07
51,51,Algeria,"1,423",+103,173 ,+21,90,"1,160",46,32,4.0,"3,359",77,2020-04-07
52,52,Singapore,"1,375",+66,6 ,,344,"1,025",25,235,1.0,"65,000","11,110",2020-04-07
53,53,Ukraine,"1,319",+11,38 ,+1,28,"1,253",16,30,0.9,"5,864",134,2020-04-07
54,54,Croatia,"1,222",+40,16 ,+1,130,"1,076",36,298,4.0,"11,464","2,793",2020-04-07
55,55,Egypt,"1,173",,78 ,,247,848,,11,0.8,"25,000",244,2020-04-07
56,56,Morocco,"1,120",+99,80 ,+10,81,959,1,30,2.0,"5,104",138,2020-04-07
57,57,Estonia,"1,108",+11,19 ,+4,62,"1,027",14,835,14.0,"21,866","16,484",2020-04-07
58,58,New Zealand,"1,106",+67,1 ,,176,929,3,229,0.2,"39,918","8,278",2020-04-07
59,59,Iraq,"1,031",+70,64 ,+3,344,623,,26,2.0,,,2020-04-07
60,60,Slovenia,"1,021",+24,30 ,+2,102,889,30,491,14.0,"28,253","13,590",2020-04-07
61,61,Moldova,965,+101,19 ,+4,37,909,80,239,5.0,,,2020-04-07
62,62,Hong Kong,915,+24,4 ,,216,695,12,122,0.5,"96,709","12,900",2020-04-07
63,63,Lithuania,843,+32,15 ,+2,8,820,11,310,6.0,"25,599","9,403",2020-04-07
64,64,Armenia,833,+11,8 ,+1,62,763,30,281,3.0,"4,929","1,663",2020-04-07
65,65,Bahrain,756,+56,4 ,,458,294,4,444,2.0,"47,684","28,023",2020-04-07
66,66,Hungary,744,+11,38 ,+4,67,639,17,77,4.0,"22,282","2,307",2020-04-07
67,67,Diamond Princess,712,,11 ,,619,82,10,,,,,2020-04-07
68,68,Belarus,700,+138,13 ,+5,53,634,11,74,1.0,"40,000","4,233",2020-04-07
69,69,Bosnia and Herzegovina,674,+20,29 ,+6,47,598,4,205,9.0,"5,934","1,809",2020-04-07
