,Unnamed: 0,Sr.No,States/UT,Confirmed,Recovered,Deceased,Date
0,0,1,Andhra Pradesh,266,1,3,2020-04-08
1,1,2,Andaman and Nicobar Islands,10,0,0,2020-04-08
2,2,3,Arunachal Pradesh,1,0,0,2020-04-08
3,3,4,Assam,26,0,0,2020-04-08
4,4,5,Bihar,32,0,1,2020-04-08
5,5,6,Chandigarh,18,7,0,2020-04-08
6,6,7,Chhattisgarh,10,9,0,2020-04-08
7,7,8,Delhi,576,21,7,2020-04-08
8,8,9,Goa,7,0,0,2020-04-08
9,9,10,Gujarat,165,25,13,2020-04-08
10,10,11,Haryana,90,25,1,2020-04-08
11,11,12,Himachal Pradesh,13,2,1,2020-04-08
12,12,13,Jammu and Kashmir,116,4,2,2020-04-08
13,13,14,Jharkhand,4,0,0,2020-04-08
14,14,15,Karnataka,175,25,4,2020-04-08
15,15,16,Kerala,327,58,2,2020-04-08
16,16,17,Ladakh,14,10,0,2020-04-08
17,17,18,Madhya Pradesh,229,0,13,2020-04-08
18,18,19,Maharashtra,868,56,48,2020-04-08
19,19,20,Manipur,2,0,0,2020-04-08
20,20,21,Mizoram,1,0,0,2020-04-08
21,21,22,Odisha,42,2,1,2020-04-08
22,22,23,Puducherry,5,1,0,2020-04-08
23,23,24,Punjab,91,4,7,2020-04-08
24,24,25,Rajasthan,288,21,3,2020-04-08
25,25,26,Tamil Nadu,621,8,5,2020-04-08
26,26,27,Telengana,364,35,7,2020-04-08
27,27,28,Tripura,1,0,0,2020-04-08
28,28,29,Uttarakhand,31,5,0,2020-04-08
29,29,30,Uttar Pradesh,305,21,3,2020-04-08
30,30,31,West Bengal,91,13,3,2020-04-08
