,Unnamed: 0,Sr.No,States/UT,Confirmed,Recovered,Deceased,Date
0,0,1,Andhra Pradesh,226,1,3,2020-04-07
1,1,2,Andaman and Nicobar Islands,10,0,0,2020-04-07
2,2,3,Arunachal Pradesh,1,0,0,2020-04-07
3,3,4,Assam,26,0,0,2020-04-07
4,4,5,Bihar,32,0,1,2020-04-07
5,5,6,Chandigarh,18,0,0,2020-04-07
6,6,7,Chhattisgarh,10,8,0,2020-04-07
7,7,8,Delhi,523,19,7,2020-04-07
8,8,9,Goa,7,0,0,2020-04-07
9,9,10,Gujarat,144,22,12,2020-04-07
10,10,11,Haryana,84,25,1,2020-04-07
11,11,12,Himachal Pradesh,13,2,1,2020-04-07
12,12,13,Jammu and Kashmir,109,4,2,2020-04-07
13,13,14,Jharkhand,4,0,0,2020-04-07
14,14,15,Karnataka,151,12,4,2020-04-07
15,15,16,Kerala,314,55,2,2020-04-07
16,16,17,Ladakh,14,10,0,2020-04-07
17,17,18,Madhya Pradesh,165,0,9,2020-04-07
18,18,19,Maharashtra,748,56,45,2020-04-07
19,19,20,Manipur,2,0,0,2020-04-07
20,20,21,Mizoram,1,0,0,2020-04-07
21,21,22,Odisha,21,2,0,2020-04-07
22,22,23,Puducherry,5,1,0,2020-04-07
23,23,24,Punjab,76,4,6,2020-04-07
24,24,25,Rajasthan,274,21,0,2020-04-07
25,25,26,Tamil Nadu,571,8,5,2020-04-07
26,26,27,Telengana,321,34,7,2020-04-07
27,27,28,Uttarakhand,26,4,0,2020-04-07
28,28,29,Uttar Pradesh,305,21,3,2020-04-07
29,29,30,West Bengal,80,10,3,2020-04-07
