,Confirmed,Date,Deceased,Recovered,States/UT,Unnamed: 0,Unnamed: 0.1
23,101,2020-04-10,8,4,Punjab,23,
24,383,2020-04-10,3,21,Rajasthan,24,
25,738,2020-04-10,8,21,Tamil Nadu,25,
26,442,2020-04-10,7,35,Telengana,26,
27,1,2020-04-10,0,0,Tripura,27,
28,35,2020-04-10,0,5,Uttarakhand,28,
29,410,2020-04-10,4,31,Uttar Pradesh,29,
30,103,2020-04-10,5,16,West Bengal,30,
0,305,2020-04-09,4,5,Andhra Pradesh,0,
1,10,2020-04-09,0,0,Andaman and Nicobar Islands,1,
2,1,2020-04-09,0,0,Arunachal Pradesh,2,
3,27,2020-04-09,0,0,Assam,3,
4,38,2020-04-09,1,0,Bihar,4,
5,18,2020-04-09,0,7,Chandigarh,5,
6,10,2020-04-09,0,9,Chhattisgarh,6,
7,576,2020-04-09,9,21,Delhi,7,
8,7,2020-04-09,0,0,Goa,8,
9,165,2020-04-09,13,25,Gujarat,9,
10,147,2020-04-09,3,28,Haryana,10,
11,18,2020-04-09,1,2,Himachal Pradesh,11,
12,116,2020-04-09,2,4,Jammu and Kashmir,12,
13,4,2020-04-09,0,0,Jharkhand,13,
14,175,2020-04-09,4,25,Karnataka,14,
15,336,2020-04-09,2,70,Kerala,15,
16,14,2020-04-09,0,10,Ladakh,16,
17,229,2020-04-09,13,0,Madhya Pradesh,17,
18,1018,2020-04-09,64,79,Maharashtra,18,
19,2,2020-04-09,0,0,Manipur,19,
20,1,2020-04-09,0,0,Mizoram,20,
21,42,2020-04-09,1,2,Odisha,21,
22,5,2020-04-09,0,1,Puducherry,22,
23,91,2020-04-09,7,4,Punjab,23,
24,328,2020-04-09,3,21,Rajasthan,24,
25,690,2020-04-09,7,19,Tamil Nadu,25,
26,427,2020-04-09,7,35,Telengana,26,
27,1,2020-04-09,0,0,Tripura,27,
28,31,2020-04-09,0,5,Uttarakhand,28,
29,343,2020-04-09,3,26,Uttar Pradesh,29,
30,99,2020-04-09,5,13,West Bengal,30,
